age,hours_per_week,workclass,education,marital_status,occupation,race,gender,income
0.31165136002713184,0.739828346654817,0.0,1.0,3.0,5.0,1.0,1.0,0.9976611137390137
0.28782177122658936,0.7267959130620568,2.0,2.0,0.0,3.0,1.0,1.0,0.9428373575210571
0.521613031945329,0.8454973602699588,2.0,6.0,1.0,3.0,0.0,1.0,0.9835109710693359
0.5564012182663336,0.8449477655382945,2.0,6.0,1.0,5.0,0.0,0.0,0.992774248123169
0.28110147404741603,0.8486835403778901,2.0,4.0,3.0,2.0,1.0,0.0,0.9935241937637329
0.3614128490692284,0.7853698797145918,2.0,1.0,3.0,5.0,1.0,0.0,0.912377119064331
0.20549663894091535,0.3677452466229035,2.0,0.0,1.0,2.0,0.0,1.0,0.9837080836296082
0.47370609908730216,0.8391046445899932,2.0,6.0,1.0,3.0,0.0,1.0,0.9837793707847595
0.12278740195697588,0.8090990883157845,3.0,3.0,1.0,3.0,1.0,1.0,0.9838958978652954
0.20920271115710573,0.8437996912952785,2.0,3.0,1.0,4.0,1.0,1.0,0.9735470414161682
