x1,x2,x3,y
0.6205811621626922,0.8493826313435012,0.7386446439009192,1.0
0.6098567705716511,0.7037464207544083,0.6589441661130863,1.0
0.600727399571516,0.7275261177552161,0.6568543477537914,1.0
0.46396900457116275,0.4128296735160959,0.23274378523352873,1.0
0.43075276999592904,0.7889386072431972,0.5626834408259812,1.0
0.7068490983053631,0.1796270371946709,0.33166438043742064,1.0
0.25677569060980315,0.5033264034270014,0.26867917885837844,1.0
0.5440203266309556,0.5108945264213521,0.4351917363313258,1.0
0.22907624518211803,0.31021523032030673,0.10393695660216618,1.0
0.39054693646100386,0.5618768461942194,0.35357450047303973,1.0
