SproutN,BunchN,WoodW,SPAD06,NDVI06,SPAD08,NDVI08,Acid,Potass,Brix,pH,Anthoc,Polyph,outcome
0.07351393074502628,0.5182207888480035,0.5797297239641883,0.31260073596979454,0.48626271706036067,0.2595028576317441,0.6596448065926204,0.34749556893417805,0.6929560600586518,0.7376808275784486,0.35729585943776926,0.6462754573906777,0.4979063798489549,0.6124641342216474
0.3780507173667179,0.44764512493835007,0.5648319823760493,0.4255303561884034,0.6194484590930613,0.6064379455897273,0.5715300330222345,0.45275183980695544,0.2673480149411874,0.4196585277021526,0.3385242475025394,0.6254454051307705,0.3577386577768651,0.6565976371805343
0.5819484856211744,0.6521581542987858,0.5082029333998099,0.6397982292567583,0.3648828827587121,0.7413884095999542,0.468671019089576,0.396165908078546,0.6995043165596384,0.3925847477440024,0.7473410631448139,0.3220655054650038,0.5367578329975531,0.6760241180190537
0.8071729358526871,0.719053241331714,0.48546826634144447,0.42523310368606665,0.36363386782871,0.23543177257181677,0.5330843293017843,0.5337311118829353,0.6769270911290205,0.27806653999360803,0.5264531426500084,0.675685679685513,0.7481754034564823,0.7061118972451078
0.45530604895116045,0.6455909110485507,0.48265241718349383,0.5489846678857019,0.5762260361748031,0.39323282912419755,0.4547852885010523,0.37829749203859675,0.6578756291220991,0.41426164238977026,0.47249979631237593,0.7377909133784039,0.7094067683378567,0.8068763243899199
0.24313375322996095,0.35100151888052616,0.8284977120850718,0.7416794559740746,0.6159823191547007,0.6828229504827021,0.3562513920007855,0.5643650151054344,0.5500539645482407,0.28240365258355965,0.42441689483115186,0.40045841979142527,0.3473169378002929,0.7813067282677469
0.36831236569864784,0.7439268073057491,0.5424827957771166,0.4261934681365102,0.3258808211302924,0.40766256320097494,0.4702334586562179,0.7113402895084727,0.725287105254692,0.48062170732541326,0.4410542553545186,0.62616423588576,0.6947930844864725,0.6052197712886386
0.581559666181977,0.688605702690712,0.41443889951212887,0.4693781462412529,0.534288719630611,0.31807091283424976,0.7902283315035878,0.34917629117093707,0.21581507328648336,0.48731464711551703,0.5281369990009142,0.5764985307152475,0.7439252810318124,0.8338772722276542
0.3983635464721056,0.5126590619689039,0.5677962481196771,0.5023520302570761,0.3570901293007623,0.4742363841346006,0.5437287078725682,0.5286807747473008,0.4833654013604279,0.2774728474509497,0.5332224750842828,0.4726619667802483,0.6869979732931251,0.5017940169317047
0.5987427675802137,0.715338070331436,0.41449435501064047,0.7351172345391658,0.5744673331964741,0.49926505329265203,0.3730864805837048,0.2912516411809061,0.802054628438166,0.3480805363864724,0.8454320744462152,0.47474031554411256,0.5167535981017468,0.8051156089288717
