age,hours_per_week,workclass,education,marital_status,occupation,race,gender,income
0.3090964115296255,0.8199218746144297,0.0,1.0,3.0,5.0,1.0,1.0,0.59795743227005
0.2891250109878187,0.8342076112887581,2.0,2.0,0.0,0.0,1.0,1.0,0.7515270709991455
0.49730993939604906,0.6228195204402007,2.0,6.0,1.0,5.0,0.0,1.0,0.9882984161376953
0.4743761061984113,0.8494673844040497,2.0,6.0,1.0,5.0,0.0,0.0,0.993133008480072
0.288972402730526,0.8276199724462991,2.0,4.0,3.0,2.0,1.0,0.0,0.725629448890686
0.4194835195406296,0.7463423618177197,2.0,1.0,3.0,5.0,1.0,0.0,0.9738924503326416
0.21288785798013335,0.761460056744446,2.0,0.0,1.0,5.0,0.0,1.0,0.9917682409286499
0.23425795807218033,0.647642805253959,2.0,4.0,1.0,0.0,0.0,1.0,0.8148931860923767
0.14786176358974554,0.8370945468596169,3.0,3.0,1.0,1.0,1.0,1.0,0.8219388723373413
0.2081295447243342,0.5946945738979436,2.0,3.0,1.0,2.0,1.0,1.0,0.529643177986145
