age,hours_per_week,workclass,education,marital_status,occupation,race,gender,income
0.3055130708436021,0.7377577883830218,0.0,1.0,3.0,5.0,1.0,1.0,0.9951897859573364
0.2885267289659806,0.7425692640264929,2.0,5.0,0.0,0.0,1.0,1.0,0.9137464165687561
0.49572143245176586,0.5333057849298677,2.0,5.0,1.0,1.0,0.0,1.0,0.9978395700454712
0.4391060490775775,0.6317052147295525,2.0,5.0,1.0,2.0,0.0,0.0,0.9961090683937073
0.31611297216046336,0.793222891541345,2.0,4.0,3.0,2.0,1.0,0.0,0.7391608357429504
0.31729833571098226,0.826610380176753,2.0,1.0,3.0,5.0,1.0,0.0,0.9939228892326355
0.2088478590392201,0.7512461562312585,2.0,0.0,1.0,5.0,0.0,1.0,0.9873931407928467
0.2369765959156597,0.7495686143460298,2.0,1.0,1.0,1.0,0.0,1.0,0.9747281670570374
0.14944941386868207,0.8351706408617585,3.0,3.0,1.0,4.0,1.0,1.0,0.7657442688941956
0.20744425779472828,0.585109910955416,2.0,3.0,1.0,5.0,1.0,1.0,0.6515450477600098
