SproutN,BunchN,WoodW,SPAD06,NDVI06,SPAD08,NDVI08,Acid,Potass,Brix,pH,Anthoc,Polyph,outcome
0.1748772826014915,0.6119430102791605,0.4771562254012094,0.4013769726708273,0.7222670187909359,0.1606894549774246,0.5265586586772225,0.37287314054699394,0.5972846480600117,0.7710031541121524,0.5069270156771428,0.6213145042464856,0.7049609952459169,0.5899003799430399
0.34876089998184545,0.6252196297495823,0.5147947460049623,0.5470149306983026,0.913013695806122,0.5136430638480114,0.41162186208901297,0.4319183433223731,0.2805629652098781,0.5293163099831326,0.52062454139327,0.626464972485453,0.48823948002984496,0.8781968233581479
0.6359725986230123,0.6665305221588396,0.6032244374558043,0.5367153640675014,0.3336797781860962,0.5887201579179477,0.5504781510316381,0.27592802647266923,0.8256506358952983,0.40038009814356934,0.6233888697654311,0.15652664318360227,0.49080260220551625,0.9399274219443913
0.49801793725456445,0.7433185321403144,0.48957706210471835,0.31280791672970365,0.42199414609796115,0.2877305919952844,0.6133304808741622,0.3801418515506912,0.684120735201191,0.5428808662145149,0.6482111866244132,0.6763569305454711,0.4646580029564004,0.7786617160070846
0.6041221879521693,0.7858122710217027,0.5559602358968929,0.5212591637881948,0.3723394577904725,0.4708084672886218,0.47092479582898417,0.6585484928967454,0.5108250340593042,0.5466917006233771,0.3411709247349564,0.9127502641254728,0.5706905934394338,0.7275365018416181
0.35792994328096067,0.51057460991429,0.5384554695882398,0.7635221152744658,0.4156403770565178,0.39129893526385423,0.24324876435935053,0.6808632795173775,0.7217318212782589,0.13534338192822915,0.40283802160950843,0.3315984735190645,0.3426098043920562,0.5097763179758374
0.3645125987362899,0.6681177930750534,0.4757584301323765,0.5315509571729813,0.41211061982143643,0.35987514456768055,0.408486286681946,0.6589245814333562,0.39748284482455976,0.4437108085457551,0.43376000389998093,0.48651578302255893,0.5562446224673955,0.505494626647929
0.506398744214448,0.6075878530013938,0.490368438371263,0.3946838038895395,0.5611718040306738,0.24862845232721628,0.5160123115767734,0.437575373113776,0.43898376642201464,0.3392992831813551,0.5148867217641749,0.8227352586040275,0.634464533432158,0.6825947133430055
0.4656570343481121,0.38596150922048633,0.6582677573312341,0.7255916135093341,0.4684046183719606,0.6036342456054147,0.448882687843006,0.28354666365846815,0.34631937268948615,0.21665850672171905,0.5578610088163238,0.6845802294343143,0.6300125385750559,0.6687549763908982
0.7013662998271215,0.6687971278584393,0.5826228664906112,0.7277951019757899,0.43490640497419003,0.7090915634778095,0.5742436272822001,0.15356842746382626,0.6669453036877,0.4202973272197582,0.9324926682274609,0.5294728485915585,0.5019678030585137,0.8871504598964398
