age,hours_per_week,workclass,education,marital_status,occupation,race,gender,income
0.3043265056368386,0.848219726618056,0.0,1.0,3.0,5.0,1.0,1.0,0.6412335634231567
0.28817118405986436,0.7425654798169723,2.0,3.0,1.0,1.0,1.0,1.0,0.7135182023048401
0.49441927498837934,0.4592148481894327,2.0,1.0,1.0,5.0,0.0,1.0,0.9794347882270813
0.45600516701515303,0.8434157737063475,2.0,6.0,1.0,5.0,0.0,0.0,0.8748228549957275
0.349707692164544,0.8134315681103365,2.0,4.0,3.0,2.0,1.0,0.0,0.9878696799278259
0.3223931987104032,0.837588684491051,2.0,1.0,3.0,5.0,1.0,0.0,0.9648866653442383
0.2057863479123404,0.5478842969827544,2.0,0.0,1.0,5.0,0.0,1.0,0.9865390658378601
0.23326611928169244,0.5680584107919211,2.0,2.0,1.0,0.0,0.0,1.0,0.9950887560844421
0.131920172760452,0.8473105110268934,3.0,3.0,1.0,5.0,1.0,1.0,0.9978467226028442
0.22227046990092844,0.8232953128161146,2.0,3.0,1.0,0.0,1.0,1.0,0.9438550472259521
