age,hours_per_week,workclass,education,marital_status,occupation,race,gender,income
0.3036784055695045,0.8095446654609298,0.0,1.0,3.0,5.0,1.0,1.0,0.6555341482162476
0.28823304901927216,0.84042766559968,2.0,5.0,0.0,0.0,1.0,1.0,0.9496315121650696
0.4935957866565283,0.7765223213499333,2.0,6.0,1.0,5.0,0.0,1.0,0.9952667951583862
0.44394668708276,0.8469471730511781,2.0,6.0,1.0,5.0,0.0,0.0,0.990260899066925
0.3157014141888478,0.8160648624157442,2.0,4.0,3.0,2.0,1.0,0.0,0.9933112859725952
0.3209224248299871,0.8265712362978267,2.0,1.0,3.0,5.0,1.0,0.0,0.9906710386276245
0.20598850666457746,0.6719030483776528,2.0,0.0,1.0,1.0,0.0,1.0,0.8588590025901794
0.5447340280408717,0.8354569653587282,2.0,6.0,1.0,3.0,0.0,1.0,0.9926465749740601
0.14979410785124356,0.6034544035745066,3.0,3.0,1.0,5.0,1.0,1.0,0.8519724607467651
0.2146496777612189,0.724270378318936,2.0,3.0,1.0,1.0,1.0,1.0,0.9956034421920776
